,Unnamed: 0,name,artwork,poseType,sod,gRoq1_mat,gRoq2_mat,gRoq3_mat,gRoq4_mat,reasons,tempo_score,tempo,pitch_score,pitch,density_score,density,additional_perception
356,26,65c4bfbc22bc351322c66e32,A13,sit,2.0,"[0,0,0,0]","[0,0,1,0]","[0,1,0,0]","[0,0,0,0]",Undoubtedly very beautiful,2.0,,2.0,,6.0,,
357,27,63f77942d3cad20e65a411a9,A13,sit,2.0,"[0,0,0,0]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]",the long grass seems in motion,2.0,,3.0,,2.0,,
358,28,5c584d2040378900013b6fb9,A13,sit,3.0,"[0,0,0,0]","[0,0,1,0]","[0,1,1,0]","[0,1,1,1]",A lady still in possible hiding or boredom,1.0,,1.0,,2.0,,
359,29,613e454dca2db9fcef1f8e8d,A13,sit,3.0,"[0,0,1,0]","[1,0,0,0]","[0,0,1,0]","[0,0,1,0]","The vastness and solidity of the mountains in the background, contrasted with the grasses and plants in the foreground gives a sense of movement. I feel that the figure is about to get up and work.",3.0,,5.0,,6.0,  dramatic scenery,
390,0,나비,A14,sit,2.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 1, 0]","[1, 1, 1, 1]",사람이 일단 평온하게 앉아있기때문에 낮은 역동적 느낌. 그러나 풀이 살짝 흔들려서 살짝의 역동성느낌은 있음,2.0,2,4.0,4,1.0,1,
391,1,rub,A14,sit,3.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",I think it's mainly because of the grassland and windy feeling,3.0,3 |  peaceful,5.0,5 |  comfortable pitch,5.0,5 |  comfortable,
392,2,Daisy,A14,sit,3.0,"[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]","The woman at the center, and the grass that can move when the wind blows.",6.0,6 |  The tempo entirely follows the rhythm of the grass waves.,5.0,5 |  It looks like a peaceful noon.,5.0,5 |  I think the density varies with the wind speed.,
393,3,Doky,A14,sit,1.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 1, 0]","[0, 0, 0, 0]",역동적인 요소가 딱히 보이지 않음,5.0,5 |  나름 잔잔하지만 밝은 색채가 주는 느낌으로 인하여 중간정도의 템포의 음악,8.0,8 |  음악의 핏치는 밝은 색채와 움직임은 없지만 경쾌한 느낌으로 인하여 높았으면 좋겠음.,5.0,5 |  잔잔하고 평화로운 휴식의 분위기이기 때문에 밀도는 딱 중간정도가 좋을 것 같음.,
394,4,chanpig,A14,sit,2.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 0, 0, 1]","[1, 1, 1, 1]",풀들이 날림,1.0,1 |  사람은 가만히 앉아있고 풀들만 움직여서,3.0,3 |  색감이 주는 느낌? 움직임이 없음,1.0,1 |  풀들움직임만 느껴져서,
395,5,곤듀,A14,sit,4.0,"[1, 1, 1, 1]","[1, 1, 0, 1]","[1, 0, 0, 1]","[1, 1, 1, 1]",인물보다는 주변 배경에 의해 역동적 느낌을 받음.,3.0,"3 |  본 그림에서 주변의 식물들이 살랑사랑 거리는 느낌을 받았으며, 약간의 느림에서 보통 사이의 템포가 어울릴 것으로 생각됨.",4.0,4 |  본 그림에서 잔잔함이 느껴짐에 따라 너무 높지도 낮지도 않은 피치의 음이 어울릴 것으로 생각됨.,3.0,3 |  본 그림에서 잔잔함이 느껴짐에 따라 높은 밀도보다는 살짝 느슨한 느낌의 음악이 어울릴 것으로 생각됨,
396,6,이인애,A14,sit,2.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",앉은자세,3.0,3,5.0,5,7.0,7,
397,7,고고,A14,sit,1.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",앉아있는모습,1.0,1,1.0,1,1.0,1,
398,8,경,A14,sit,1.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",앉아 있는 모습에서 정적인 느낌을 받을 수 있음.,1.0,1 |  앉아 있는 정적인 느낌을 잘 나타냄.,2.0,2 |  대체로 낮은 음이 정적인 느낌에 잘 어울림.,2.0,2 |  대체로 낮은 밀도가 정적인 느낌과 잘 어울림.,
399,9,yoni,A14,sit,3.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 1]",풀들이 바람에 흔들리는 듯한 느낌,8.0,8,7.0,7,8.0,8,
400,10,밍경댕,A14,sit,2.0,"[0, 0, 0, 0]","[0, 1, 1, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",풀이 바람에 흔들리는 것을 보아 역동적으로 느껴질 법도 하지만 여인의 얼굴색 및 표정이 너무 어두워 전혀 역동적으로 느껴지지 않음.,1.0,1 |  느린 템포로 여인의 어두운 표정을 표현하고 싶음.,4.0,4 |  여인은 어둡지만 꽃의 밝음이나 바람이 부는 걸로 보아 높낮이는 조금만 낮은 걸 선택하고싶음.,4.0,4 |  봄을 표현하기 위해 가벼운 밀도를 선택하고 싶으나 여인의 얼굴 및 표정으로 인해 조금의 밀도는 부여해야 할듯,
401,11,배뀽,A14,sit,4.0,"[1, 1, 0, 0]","[1, 0, 0, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",풀잎이 흔들리고 있음,5.0,5 | 산들산들,7.0,7 | 노란색이 밝다,7.0,7 | 잎이 많아서 촘촘한 느낌,
402,12,미지,A14,sit,4.0,"[0, 0, 0, 0]","[0, 0, 1, 1]","[1, 1, 1, 1]","[1, 1, 1, 1]",수풀이 날리는 모습과 세밀하게 표현한 뒷배경이 역동적인 느낌을 줌,5.0,5 | 흩날리는 수풀과 달리 가만히 앉아있는 여성의 모습이 역동성을 중화시키는 느낌이라 보통템포의 음악이 떠오름,5.0,5 | 위와 같음,8.0,8 | 빼곡한 수풀이 바람에 흔들리는 소리들이 높은 밀도로 표현되면 좋을 것 같음,
403,13,boldmas,A14,sit,4.0,"[0, 0, 0, 0]","[0, 0, 1, 0]","[1, 1, 1, 1]","[1, 1, 1, 1]",the main subject of the painting and the long grass,6.0,"6 | even though the character is resting, the tall grass seems to be in movement. and the different shades of grass, gives the artwork extra life",6.0,6 | the bright grass in the background and the tall moving grass in the front and the resting lady have a great balance.,3.0,"3 | except for the grass, nothing else is in movement.",
404,14,Seong Ho,A14,sit,3.0,"[0,0,0,0]","[0,0,1,0]","[0,1,1,0]","[1,1,1,1]",앉아있는 여성 + 바람 부는 느낌 = 3점 (앉아 있는 여성이 주는 정적인 느낌이 더 큼),2.0,  편안히 쉬는 느낌 표현 위해.,6.0,,1.0,"  선은 많지만, 앉아서 편히 쉬는 느낌을 표현하려면 sparse 해야 함. 앉아서 쉬는 느낌이 더 표현되었으면 함.",기묘함.
405,15,5e67524094c67a000a04ca8e,A14,sit,4.0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",The middle of the photo is what I'm immediately drawn to. ,2.0,,3.0,,3.0,,
406,16,6400dc9af341e8a575a457f6,A14,sit,4.0,"[0,0,0,1]","[0,0,1,1]","[0,1,1,0]","[0,0,0,0]",the many color variants,5.0,,7.0,,9.0,,
407,17,5e4875f3110b3730eefa32a1,A14,sit,0.0,"[0,0,0,0]","[0,0,0,0]","[0,1,1,0]","[0,0,0,0]",lady's skirt is bold,3.0,,3.0,,4.0,,
408,18,5e909d9ac9ce2503b2650797,A14,sit,2.0,"[0,0,0,0]","[0,0,0,0]","[0,0,0,0]","[1,1,1,1]",the movement look of the grass,5.0,,2.0,,4.0,,
409,19,5fc00a11268eb941e7d8b066,A14,sit,6.0,"[0,0,0,0]","[0,0,1,0]","[0,0,0,0]","[0,0,0,0]",The different colours on her face attract interest.,3.0,,7.0,,3.0,,
410,20,5b295f60bbd4880001117976,A14,sit,1.0,"[1,1,0,0]","[1,1,0,0]","[0,0,0,0]","[0,0,0,0]",Ony a slight dynamics from the corn behind the lady.,2.0,,3.0,,2.0,,
411,21,630100561dc47fd83f5b4745,A14,sit,0.0,"[0,0,0,0]","[0,0,0,0]","[0,1,1,0]","[0,0,0,0]",Not much in terms of dynamism in this picture. The hands are facing upwards. ,1.0,,1.0,,1.0,,
412,22,5f7959d0b6791155e6932dd1,A14,sit,3.0,"[1,1,1,1]","[1,1,0,0]","[0,0,0,0]","[0,0,0,0]",The brightness of the yellow far exceed anything else in the picture so show most dynamism.,7.0,  The tempo should be bright and on the faster side to match the bright yellow used in the picture.,7.0,  The pitch should also be higher to match the brightness of the yellow.,3.0,  The picture is generally light and so accopanying music should also be light.,I think a touch of sombreness should be added to the brightness of the music as the figure should also seems too dark for the picture so the music should also have a sense of that.
413,23,5967e9a831394d0001abdb3f,A14,sit,3.0,"[0,0,0,0]","[0,0,1,0]","[0,0,1,0]","[0,0,0,0]","Although the figure is still, it gives the impression that it could move at any moment",3.0,,3.0,,1.0,,
414,24,657421f9661ce9a8cd7482d1,A14,sit,3.0,"[0,0,0,0]","[0,1,1,0]","[0,1,1,0]","[0,1,1,0]",The other areas selected apart from the art work location help to show the beauty of the work the more,7.0,  The tempo of the song can be high but with coolness with direction to the wind,7.0,  The pitch can also be high,7.0,  The density can also be high too,
415,25,5e56590389b924000c184113,A14,sit,3.0,"[0,0,0,0]","[0,0,0,0]","[1,1,1,1]","[1,1,1,1]",Movement of grasses,5.0,,5.0,,5.0,,
416,26,65c4bfbc22bc351322c66e32,A14,sit,2.0,"[0,0,0,0]","[0,1,0,0]","[0,0,0,0]","[0,0,0,0]",Very beautiful look,1.0,,2.0,,6.0,,
417,27,63f77942d3cad20e65a411a9,A14,sit,3.0,"[1,1,1,1]","[1,1,0,1]","[1,1,0,1]","[1,1,1,1]",the flowers look like they're moving in the wind,2.0,,3.0,,1.0,,
418,28,5c584d2040378900013b6fb9,A14,sit,3.0,"[0,0,0,0]","[0,0,1,0]","[0,1,1,0]","[0,0,0,0]",This shows the lady and also the field of crops she is sitting in,1.0,,3.0,,2.0,,
419,29,613e454dca2db9fcef1f8e8d,A14,sit,3.0,"[1,1,0,0]","[1,1,1,1]","[0,1,1,0]","[1,1,1,1]","the grasses appear to be blowing in the wind, whilst the figure is seated and still",2.0,  The wind appears gently and the figure seems restful,7.0,"  Playful, lightness of the grasses and the yellow colour",3.0,"  Light , relaxed scene",
300,0,나비,A15,sit,2.0,"[0, 0, 0, 0]","[1, 0, 0, 0]","[1, 1, 0, 0]","[1, 1, 0, 0]","너무 정자세로 앉아있고, 몇분 이상 저 자세로 있어도 이상하지않아보여서 - 정적인느낌. 또한 풀이 흔들리지않는것같음.",2.0,2,3.0,3 |  약간의 새소리 날 것 같아서 높은 음 살짝?,2.0,2,
301,1,rub,A15,sit,0.0,"[1, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",mainly feel like winds passing the trees,6.0,6 |  the sounds of nature,7.0,7 |  it's in day time,3.0,3 |  the painting looks really peaceful so doesn't have to be fancy,
302,2,Daisy,A15,sit,3.0,"[1, 1, 1, 1]","[1, 1, 1, 0]","[1, 1, 0, 0]","[1, 1, 1, 1]","The woman is sitting, and the trees and grasses can gently move when the wind blows.",3.0,3 |  It looks like a quiet noon in a garden where the woman can sit and read.,5.0,"5 |  The daylight helps with increase the pitch, but the pitch should not be too high that might disturb the woman.",5.0,5 |  Same reason with the question about the pitch.,
303,3,Doky,A15,sit,2.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 0, 0]","[0, 0, 0, 0]",딱히 역동적인 느낌이 나지 않음. 평화롭고 잔잔함.,3.0,3 |  밝은 곳에서의 휴식이므로 잔잔한 빠르기가 적당한 것으로 보여짐.,6.0,6 |  분위기가 낮이고 역동적임은 적지만 밝고 평화롭기 때문에 높은 핏치가 더 어울릴 것으로 생각됨.,7.0,7 |  경쾌하면서도 평화로운 무드의 밀도가 촘촘한 곡이 어울릴 것 같음.,
304,4,chanpig,A15,sit,2.0,"[0, 1, 1, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",나뭇잎이 흔들리는 느낌? ,2.0,2 |  책을 읽으면서 움직임이 없어보임,6.0,6 |  낮에 해가 들어오고 느긋하고 새가 울것같은 느낌 ? 칙칙한 느낌이 아님,6.0,6 |  새가 지저귈것만같은 느낌,
305,5,곤듀,A15,sit,3.0,"[1, 1, 1, 1]","[0, 1, 1, 1]","[0, 0, 0, 0]","[1, 1, 1, 0]","나뭇잎들의 사실적인 표현과, 사물들에 비춰지는 햇빛이 그림의 역동성을 느끼게해 줌",5.0,5 |  자연속에서 휴식을 취하는 듯한 장면이 연상됨에 따라 평이한 템포가 어울릴 것으로 생각됨,5.0,"5 |  자연, 휴식이 연상되는 그림으로 평이한 수준의 음의 높낮이가 어울릴 것이라 생각함.",5.0,"5 |  자연, 휴식이 연상되는 그림으로 보통밀도의 음악이 어울릴 것으로 생각함.",
306,6,이인애,A15,sit,2.0,"[0, 0, 1, 0]","[0, 1, 0, 0]","[1, 1, 0, 0]","[1, 0, 0, 0]",앉은구조 의자 햇살,3.0,3,7.0,7,2.0,2,
307,7,고고,A15,sit,1.0,"[0, 0, 0, 0]","[1, 0, 0, 0]","[1, 1, 0, 0]","[0, 0, 0, 0]",앉아있는 모습,1.0,1,1.0,1,1.0,1,
308,8,경,A15,sit,1.0,"[0, 0, 0, 0]","[1, 0, 0, 0]","[1, 1, 0, 0]","[0, 0, 0, 0]",가만히 앉아서 독서를 하는 모습을 통해 정적인 느낌을 얻을 수 있음.,1.0,1 |  느린 곡이 정적인 그림과 잘 어울림.,2.0,2 |  낮은 피치를 통해 여유롭고 정적인 모습을 느낄 수 있음.,2.0,2 |  낮은 밀도를 통해 대체로 정적인 분위기를 잘 느낄 수 있음.,
309,9,yoni,A15,sit,2.0,"[0, 0, 0, 0]","[1, 1, 0, 0]","[1, 1, 0, 0]","[1, 1, 1, 1]",햇빛 인물의 행동 쉴수있는 의자,6.0,6,8.0,8,2.0,2,
310,10,밍경댕,A15,sit,3.0,"[0, 0, 0, 0]","[1, 1, 0, 1]","[1, 1, 0, 0]","[0, 1, 0, 0]",여인은 가만히 있어 정적인 느낌을 주지만 풍경의 원근법이 조금의 동적인 느낌을 줌.,2.0,2 |  평화로운 느낌과 따뜻한 색감으로 느린 음악이 잘 어울림.,7.0,7 |  평화와 따뜻한 날씨에는 조금 높은 음이 잘 어울릴듯,2.0,2 |  가벼운 느낌의 음악이라 단일 악기로 표현할 수 있을듯,
311,11,배뀽,A15,sit,3.0,"[0, 0, 0, 0]","[1, 0, 0, 0]","[1, 1, 0, 0]","[1, 1, 0, 0]",앉아서 책읽는 여자,4.0,4 | 일상의 여유로움,3.0,3 | 일상의 단조로움,4.0,4 | 귓가를 때리는 것보다 여유로움,
312,12,미지,A15,sit,2.0,"[1, 0, 1, 0]","[1, 1, 1, 1]","[0, 0, 0, 0]","[0, 1, 1, 0]",해가 드는 숲이 잘 표현되어 어느정도의 생기와 역동성이 느껴짐,7.0,7 | 수풀 위로 해가 일렁이는 모습이 가볍고 생기있게 느껴져서,7.0,7 | 위와 같음,7.0,7 | 위와 같음,
313,13,boldmas,A15,sit,3.0,"[0, 0, 0, 0]","[1, 1, 0, 0]","[1, 1, 0, 0]","[1, 1, 0, 0]",the subject of the painting is in that section of the artwork,3.0,3 | the scene looks very relaxing and the woman is having a siesta.,7.0,7 | The sunlight shining through the branches and the leaves brings the image to life and gives it a special dimension.,7.0,"7 | Even though the subject is static, the sunlightth, the different color leaves and the multitude of trees makes it a complex image.",
314,14,Seong Ho,A15,sit,0.0,"[0,0,0,0]","[1,0,0,0]","[1,1,0,0]","[1,1,0,0]",앉아있는 여자가 정적임.,0.0,  쉬는느낌 표현 원함.,5.0,  숲이 주는 편안함 표현 위해.,0.0,  편안하게 쉬는 느낌. 한두 음 정도 짧게 표현해도 될 듯.,고요함.
315,15,5e67524094c67a000a04ca8e,A15,sit,3.0,"[0,0,1,1]","[0,0,1,1]","[0,0,1,1]","[0,0,0,0]",I can feel the wind rustling off the trees,3.0,,4.0,,5.0,,
316,16,6400dc9af341e8a575a457f6,A15,sit,3.0,"[0,0,1,0]","[1,1,1,0]","[1,1,0,0]","[0,1,0,0]",the person and the background seem to blend seamlessly together,2.0,,5.0,,6.0,,
317,17,5e4875f3110b3730eefa32a1,A15,sit,2.0,"[0,0,0,0]","[1,1,0,0]","[1,1,0,0]","[1,1,0,0]",the presence of this character,1.0,,2.0,,4.0,,
318,18,5e909d9ac9ce2503b2650797,A15,sit,1.0,"[0,0,0,0]","[0,0,0,0]","[0,1,0,0]","[0,0,0,0]",the sunlight highlighted on her dress,2.0,,2.0,,2.0,,
319,19,5fc00a11268eb941e7d8b066,A15,sit,3.0,"[0,0,0,0]","[1,0,0,0]","[0,0,0,0]","[0,0,0,0]",The woman's face is what I was most attracted to.,2.0,,6.0,,2.0,,
320,20,5b295f60bbd4880001117976,A15,sit,1.0,"[0,0,0,0]","[0,1,1,0]","[0,0,0,0]","[0,0,0,0]",Slight movement and sunlight warmth in the background greenery,2.0,,2.0,,2.0,,
321,21,630100561dc47fd83f5b4745,A15,sit,0.0,"[0,0,0,0]","[1,1,0,0]","[0,0,0,0]","[0,0,0,0]","There is very little dynamic about this picture, although her head looks to have fallen due to falling asleep. ",0.0,,0.0,,0.0,,
322,22,5f7959d0b6791155e6932dd1,A15,sit,3.0,"[0,0,0,0]","[1,0,0,0]","[1,1,0,0]","[0,0,0,0]",The light coloured dress worn by the figure in the picture is what brings dynamism to the picture.,2.0,"  The tempo whould be slow like a lazy summer's day, just like it is in the picture.",3.0,  The pitch should be low like a gentle breeze.,3.0,"  The density should be sparse like you would get when outside, just like the picture.",The sound of the music should be calm and whimsical like the picure.
323,23,5967e9a831394d0001abdb3f,A15,sit,0.0,"[0,0,0,0]","[1,0,0,0]","[1,1,0,0]","[1,1,0,0]","The figure is seated, so no dynamism",1.0,,2.0,,2.0,,
324,24,657421f9661ce9a8cd7482d1,A15,sit,0.0,"[1,1,1,1]","[1,1,1,1]","[1,1,1,1]","[0,1,1,1]",a very unique and dynamic art work,5.0,  Moderate tempo music is good for the art work ,5.0,  Moderate pitch music is good for the art work ,5.0,  Moderate density music is good for the art work ,
325,25,5e56590389b924000c184113,A15,sit,1.0,"[0,0,0,0]","[1,1,0,0]","[1,1,0,0]","[0,0,0,0]",Emotional calmness,4.0,,5.0,,5.0,,
326,26,65c4bfbc22bc351322c66e32,A15,sit,2.0,"[0,1,0,1]","[0,0,0,0]","[0,0,1,0]","[0,1,0,0]",Very beautiful from the art,4.0,,3.0,,5.0,,
327,27,63f77942d3cad20e65a411a9,A15,sit,2.0,"[1,1,1,1]","[1,1,1,1]","[0,0,0,0]","[1,1,1,1]",the leaves and the grass are shimmering in the sun,3.0,,6.0,,2.0,,
328,28,5c584d2040378900013b6fb9,A15,sit,2.0,"[1,0,0,0]","[1,1,1,0]","[1,1,1,0]","[1,1,0,0]",it shows a stillness and calm,1.0,,2.0,,1.0,,
329,29,613e454dca2db9fcef1f8e8d,A15,sit,1.0,"[0,0,1,0]","[0,0,0,0]","[0,0,0,1]","[0,1,0,0]","There is a little movement suggested by the dappled sunlight, but overall the picture is restful and still becuase of the reclined figure",2.0,  It should be gentle and slow to indicate rest and stillness.,5.0,  Moderate tones are more restful,5.0,"  The setting feels like a protected space with trees surrounding, so the music should give a sense of fullness and wrapping around, but not with too much intensity.",
210,0,나비,A16,lying,0.0,"[0, 1, 1, 0]","[0, 1, 1, 0]","[1, 1, 1, 0]","[0, 0, 0, 0]","사람의 움직임 너무 느껴지지 않고, 이대로 2시간 넘게 있어도 이상하지않을 느낌. 하늘의 움직임 요소 하나 없음 (구름 X)",1.0,1,6.0,6,1.0,1,
211,1,rub,A16,lying,0.0,"[1, 1, 1, 1]","[1, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",I don't think the guy is moving but the sky (clouds),1.0,1 |  it should be really silent and almost not moving,7.0,7 |  the whole image is really bright so i don't think it should go with low pitch but also not too high to make it silent enough,2.0,2 |  silenttt,
212,2,Daisy,A16,lying,0.0,"[0, 0, 0, 0]","[0, 1, 0, 0]","[1, 1, 1, 0]","[0, 0, 0, 0]","I tend to associate humans with movements. Also, there are clouds from afar are moving.",2.0,2 |  The overall vibe is very idle.,5.0,"5 |  Not to low nor too high, just the average.",2.0,2 |  There are not many activities going on there.,
213,3,Doky,A16,lying,0.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0]","역동적인 느낌이 딱히 없고, 환경적인 부분에 있어서도 휴식이 연상케되어 역동적 느낌이 없음 ",0.0,0 |  인물의 움직임이 아예 누워서 휴식을 취하고 있기 때문에 매우 느린 템포의 곡이 어울릴 것 같음,6.0,"6 |  역동성은 적지만 해당 그림의 색채가 밝아서 비교적 너무 낮지는 않은, 높은 핏치가 이상적일 것으로 생각됨.",3.0,3 |  그림의 역동적 정도를 나타내는 주변 environment와 인물의 움직임이 없기 때문에 음악의 밀도는 적은 것이 어울릴 것 같음.,
214,4,chanpig,A16,lying,1.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0]",움직여서 팔을 머리에 얹음,0.0,0 |  사람이 자고있고 풀들도 움직임이 없다,1.0,1 |  자고있을땐 높은음보단 낮은음일듯한 느낌,1.0,1 |  미동없이 누어계셔서,
215,5,곤듀,A16,lying,0.0,"[1, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","배경, 인물 어디에서도 역동적 느낌이 들지 않음",1.0,1 |  그림에서 어떠한 역동성도 느껴지지 않기에 템포는 느림이 알맞다고 생각함,2.0,2 |  그림에서 하늘의 색감이 너무 우울하게 느껴지지는 않으므로 샘플 상의 매우 낮은 음을 확실히 아님 매우 낮음 음 - 보통 사이에서 낮음에 조금 더 치우친 피치,0.0,0 |  샘플상의 매우 낮은 밀도가 그림에서 느껴지는 정적? 여유로움?과 어울린다고 생각함,
216,6,이인애,A16,lying,0.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",수평구조,1.0,1,3.0,3,2.0,2,
217,7,고고,A16,lying,1.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0]",누워있는모습,1.0,1,1.0,1,1.0,1,
218,8,경,A16,lying,0.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 0]","[0, 0, 0, 0]",잠을 자는 모습으로 움직임이 전혀 없는 모습을 나타냄.,1.0,1 |  잠을 자는 정적인 느낌을 잘 드러냄.,0.0,0 |  잠을 자는 정적인 느낌을 잘 드러냄.,0.0,0 |  낮은 밀도의 단순함이 정적인 분위기를 잘 나타냄.,
219,9,yoni,A16,lying,2.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 0]","[0, 0, 0, 0]",인물이 이마를 가린자세에서 어떤기분일지 등 상상하게됨,3.0,3,7.0,7,5.0,5,
220,10,밍경댕,A16,lying,1.0,"[0, 1, 0, 0]","[0, 0, 0, 0]","[1, 1, 1, 0]","[0, 0, 0, 0]",포즈와 바람 하나 불지 않아 정지 되어 있는 들판과 하늘,1.0,1 |  잠자는 남자의 모습을 표현할 수 있었으면 좋겠음.,7.0,7 |  하늘을 보니 맑은 속성이 떠올라 음이 조금은 높았으면 좋겠음.,1.0,1 |  가벼운 느낌으로 낮은 밀도였으면 좋겠음.,
221,11,배뀽,A16,lying,0.0,"[1, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]",없음 ,2.0,2 |  직전 그림보다(13)는 산들산들한 느낌,4.0,4 |  어두운 분위기는 아니고 그렇다고 너무 밝은 분위기는 아닌 것 같음  근데 남자가 실연 당해서 울고 있는 것 같기도 한데  해가 밝아서 우나 싶어서 4,3.0,3 |  촘촘한 느낌은 아님,
222,12,미지,A16,lying,1.0,"[0, 0, 0, 0]","[1, 1, 1, 0]","[1, 1, 1, 0]","[1, 1, 1, 0]",누워있는 사람은 역동적이지 않은 느낌을 주고 마구 자란 풀은 역동적인 느낌을 줌,5.0,5 | 역동적인 느낌과 정적인 느낌이 동시에 있으므로,5.0,5 | 역동적인 느낌과 정적인 느낌이 동시에 있으므로,5.0,5 | 역동적인 느낌과 정적인 느낌이 동시에 있으므로,
223,13,boldmas,A16,lying,1.0,"[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 1, 1, 0]","[0, 0, 0, 0]",the subject of the artwork is place in that region,1.0,1 | to match the relaxing environment and the resting character.,4.0,4 | It's not too dark but there isn't any movement taking place.,2.0,2 | There isn't much happening in the artwork. So the music should be similarly simple and not too dense.,
224,14,Seong Ho,A16,lying,0.0,"[0,0,0,0]","[0,0,0,0]","[0,1,1,0]","[0,0,0,0]",자고있는 남성이 정적임.,0.0,,5.0,  평범한 색채감.,2.0,  자연의 느낌이 같이 표현되었으면 함.,자연이 주는 편안함.
225,15,5e67524094c67a000a04ca8e,A16,lying,2.0,"[0,1,1,0]","[0,1,1,0]","[0,1,1,0]","[0,0,0,0]",The depth of this picture makes it feel much more dynamic than the others,2.0,,2.0,,2.0,,
226,16,6400dc9af341e8a575a457f6,A16,lying,2.0,"[0,0,0,0]","[0,0,0,0]","[1,1,1,0]","[0,0,0,0]","variation from background, breaks it up",2.0,,5.0,,5.0,,
227,17,5e4875f3110b3730eefa32a1,A16,lying,0.0,"[1,1,1,1]","[1,1,1,0]","[0,0,0,0]","[0,0,0,0]",the blue is bright,2.0,,3.0,,4.0,,
228,18,5e909d9ac9ce2503b2650797,A16,lying,0.0,"[1,0,0,0]","[0,0,0,0]","[0,0,0,0]","[0,0,0,0]",i don't think it's at all dynamic,1.0,,2.0,,6.0,,
229,19,5fc00a11268eb941e7d8b066,A16,lying,2.0,"[0,0,0,0]","[0,0,0,0]","[0,0,1,0]","[0,0,0,0]",The man's face stands out against the greenery.,2.0,,6.0,,2.0,,
230,20,5b295f60bbd4880001117976,A16,lying,2.0,"[0,0,0,0]","[0,1,1,0]","[0,0,0,0]","[0,0,0,0]",Slight movement of the grass,2.0,,2.0,,4.0,,
231,21,630100561dc47fd83f5b4745,A16,lying,3.0,"[0,0,0,0]","[0,0,0,0]","[0,0,1,0]","[0,0,0,0]",the man is covering his  eyes which i am assuming is from the sun which impacts the perceived level of dynamism for me. ,0.0,,0.0,,0.0,,
232,22,5f7959d0b6791155e6932dd1,A16,lying,2.0,"[0,0,0,0]","[0,0,0,0]","[0,1,1,0]","[0,0,0,0]",The contrast of the bright shirt of the man pictured and the dark grass he is lying on is what bring dynamism to the picture.,2.0,  The relaxed sense in the picture would be best depicted in a slow tempo.,3.0,"  The picture would be best portrayed with a low pitch, earthly and industrial.",6.0,"  The density should be portrayed moderately as the picture shows a man resting yet, you get a sense that it is from a laborious day.","The music can be bright, like the weather but also slow and tired like the man."
233,23,5967e9a831394d0001abdb3f,A16,lying,0.0,"[0,0,0,0]","[0,0,0,0]","[0,1,1,0]","[0,0,0,0]",The character is lying down sleeping so no dynamism,0.0,  Something very slow and gentle to represent sleep,3.0,,2.0,,
234,24,657421f9661ce9a8cd7482d1,A16,lying,0.0,"[0,0,0,0]","[0,0,0,0]","[1,1,1,0]","[0,0,0,0]",This 3 boxed speaks a lot about the art work,2.0,  Low tempo is the best for the farm environment ,2.0,  low pitch is perfect for the environment ,2.0,  The density can also be slow too,
235,25,5e56590389b924000c184113,A16,lying,1.0,"[0,0,0,0]","[0,0,0,0]","[0,1,1,0]","[0,0,0,0]",stillness and rest. Rich deep colours and human presence.,2.0,,4.0,,2.0,,
